epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.895771,2.36512,9.57883,1.5929,0.03134,0.34722,0.25919,0.10254,2.84677,9.56827,2.17584,0,0,0.1
2,1.82616,2.42382,9.3513,1.58052,0.03815,0.36111,0.26129,0.10394,2.84232,9.56034,2.13759,1.93371e-06,1.93371e-06,0.0990019
3,2.60413,2.50506,10.2195,1.62783,0.04055,0.36111,0.26046,0.10688,2.83581,9.57545,2.10124,3.73482e-06,3.73482e-06,0.0980037
4,3.11109,2.37887,10.0488,1.60336,0.02868,0.34722,0.04048,0.01245,2.83735,9.34944,2.3559,5.40335e-06,5.40335e-06,0.0970054
5,3.68731,2.26636,9.81114,1.50785,0.01778,0.31944,0.13198,0.02574,2.8594,9.35619,2.61315,6.93929e-06,6.93929e-06,0.0960069
6,4.20395,2.03808,8.89753,1.3585,0.01986,0.33333,0.26472,0.08896,2.87559,9.52883,2.52409,8.34263e-06,8.34263e-06,0.0950083
7,4.69901,2.21515,8.8008,1.55661,0.02233,0.34722,0.14421,0.01474,2.86755,9.44936,2.32802,9.61339e-06,9.61339e-06,0.0940096
8,5.22812,2.23482,8.58156,1.49105,0.01572,0.30556,0.07585,0.01231,2.83892,9.26362,2.09742,1.07516e-05,1.07516e-05,0.0930108
9,5.75184,2.17789,9.05328,1.46868,0.01572,0.30556,0.07585,0.01231,2.83892,9.26362,2.09742,1.17571e-05,1.17571e-05,0.0920118
10,6.26247,2.03016,9.34731,1.32209,0.01984,0.31944,0.15665,0.01786,2.77698,9.22672,1.94729,1.26301e-05,1.26301e-05,0.0910126
11,6.75896,2.03015,8.43441,1.44457,0.01984,0.31944,0.15665,0.01786,2.77698,9.22672,1.94729,1.33705e-05,1.33705e-05,0.0900134
